,CD90-FITC,CD3-PE,CD55-PE,CD45RA-PE,Bcl-2-FITC,ADAM10-PE,CD36-FITC,CD15-FITC,CD63-FITC,CD38-PE,CD45-PE,CD163-PE,CD68-FITC,CD11b-FITC,CD81-FITC,CD13-FITC,HLA-ABC-PE,CD45RO-FITC,CD69-PE,CD14-PE,CD5-PE,CD9-PE,CD141-PE,CD16-PE,CD2-FITC,CD43-PE,CD7-PE,CD205-PE,TNFR1-PE,Notch-3-PE,CD62P-PE,phase,HLA-DR-PE,CD11c-PE,CD54-FITC,CD276-FITC,CD29-FITC,CD25-PE,CD27-PE,CD44-PE,CD56-PE,Notch-1-FITC,CD11a-PE,Cytokeratin-14-FITC,CD4-PE,CD8-PE,CD40-PE,TNFR2-PE,Vimentin-FITC,CD71-FITC,CD206-FITC,CD52-FITC,CD53-FITC,CD24-FITC,CD95-PE,CD6-PE,CD10-FITC
Cell-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cell-2,1.0,0.07894736842105263,0.9872958257713249,0.0009074410163339383,0.07985480943738657,0.35571687840290384,0.003629764065335753,0.0,0.9918330308529946,0.9954627949183303,0.6379310344827587,1.0,0.010889292196007259,0.009074410163339383,1.0,0.0,0.0,0.3139745916515426,0.9872958257713249,0.1969147005444646,0.11524500907441017,1.0,0.9981851179673321,0.04809437386569873,0.05716878402903811,0.6987295825771325,0.010889292196007259,0.009074410163339383,0.0,0.9945553539019963,0.0,0.9990925589836661,0.9990925589836661,0.0,0.9981851179673321,0.35571687840290384,0.9872958257713249,0.764065335753176,0.0009074410163339383,1.0,0.0,0.0054446460980036296,0.0,0.7667876588021778,0.0,0.0,0.4283121597096189,0.0054446460980036296,0.9972776769509982,0.0,0.1751361161524501,0.0,0.24591651542649728,0.0009074410163339383,1.0,0.4319419237749546,0.0
Cell-3,1.0,0.5092707045735476,0.9987639060568603,0.018541409147095178,0.7317676143386898,0.9493201483312732,0.23980222496909764,0.0,0.9987639060568603,1.0,0.8417799752781211,0.9975278121137207,0.042027194066749075,0.032138442521631644,1.0,0.0,0.0,0.7737948084054388,1.0,0.3263288009888752,0.8034610630407911,0.9975278121137207,1.0,0.17676143386897405,0.4956736711990111,0.8442521631644005,0.02595797280593325,0.6946847960444994,0.003708281829419036,1.0,0.0,0.9876390605686032,1.0,0.0,0.9962917181705809,0.7873918417799752,1.0,0.965389369592089,0.0173053152039555,0.9901112484548825,0.06674907292954264,0.45982694684796044,0.0,0.965389369592089,0.17181705809641531,0.17428924598269468,0.9789864029666254,0.07169344870210136,1.0,0.0,0.14833127317676142,0.0,0.6761433868974042,0.1903584672435105,1.0,0.7441285537700866,0.0
Cell-4,1.0,0.6726013847675568,1.0,0.142433234421365,0.8832838773491593,0.9109792284866469,0.26508407517309596,0.0,1.0,0.9980217606330366,0.9723046488625123,0.9980217606330366,0.14836795252225518,0.2888229475766568,0.9980217606330366,0.0,0.0,0.8358061325420376,1.0,0.24727992087042533,0.9099901088031652,1.0,1.0,0.4055390702274975,0.6280909990108803,0.9584569732937686,0.1671612265084075,0.8991097922848664,0.2215628090999011,1.0,0.0,1.0,1.0,0.0,1.0,0.8911968348170128,0.9970326409495549,1.0,0.04549950544015826,1.0,0.47873392680514343,0.5153313550939663,0.0,0.9564787339268052,0.37289812067260136,0.03066271018793274,1.0,0.12660731948565776,1.0,0.0,0.1444114737883284,0.0,0.8674579624134521,0.2551928783382789,1.0,0.8951533135509396,0.0
Cell-5,1.0,0.6123778501628665,1.0,0.03908794788273615,0.8208469055374593,0.5635179153094463,0.0,0.0,0.9739413680781759,1.0,1.0,1.0,0.0,0.02280130293159609,1.0,0.0,0.0,0.8957654723127035,1.0,0.0,0.9478827361563518,1.0,0.9804560260586319,0.2899022801302932,0.28664495114006516,1.0,0.11074918566775244,0.7654723127035831,0.0,1.0,0.0,1.0,1.0,0.0,0.993485342019544,0.30293159609120524,1.0,1.0,0.14006514657980457,1.0,0.06188925081433225,0.05211726384364821,0.0,0.9413680781758957,0.0,0.34527687296416937,0.8273615635179153,0.04560260586319218,1.0,0.0,0.009771986970684038,0.02280130293159609,0.501628664495114,0.0,1.0,1.0,0.0
Cell-6,1.0,0.5120614035087719,1.0,0.1611842105263158,0.33771929824561403,0.8618421052631579,0.6918859649122807,0.0,0.9989035087719298,0.9967105263157895,0.893640350877193,1.0,0.6293859649122807,0.21710526315789475,1.0,0.0,0.0,0.6951754385964912,0.9901315789473685,0.7763157894736842,0.3541666666666667,0.9978070175438597,1.0,0.5285087719298246,0.09210526315789473,0.39364035087719296,0.5230263157894737,0.47039473684210525,0.40460526315789475,1.0,0.0,1.0,1.0,0.0,1.0,0.9758771929824561,1.0,0.868421052631579,0.23574561403508773,1.0,0.1425438596491228,0.3366228070175439,0.0,0.918859649122807,0.0,0.06798245614035088,0.8991228070175439,0.0,1.0,0.0,0.6239035087719298,0.0,0.6370614035087719,0.10197368421052631,0.9989035087719298,0.23903508771929824,0.0
Cell-7,1.0,0.2096069868995633,1.0,0.013100436681222707,0.1943231441048035,0.0,0.0,0.0,1.0,0.9868995633187773,0.0,0.9956331877729258,0.05021834061135371,0.0982532751091703,1.0,0.0,0.0,0.3951965065502183,0.9672489082969432,0.010917030567685589,0.03711790393013101,1.0,0.9978165938864629,0.49563318777292575,0.0,0.10262008733624454,0.06768558951965066,0.17685589519650655,0.002183406113537118,1.0,0.0,1.0,0.9847161572052402,0.0,1.0,0.8799126637554585,1.0,0.8275109170305677,0.26200873362445415,1.0,0.0,0.5,0.0,0.9301310043668122,0.0,0.008733624454148471,0.49344978165938863,0.0,1.0,0.0,0.004366812227074236,0.0,0.23580786026200873,0.05240174672489083,1.0,0.0,0.0
Cell-8,1.0,0.10816777041942605,1.0,0.0033112582781456954,0.006622516556291391,0.2108167770419426,0.008830022075055188,0.0,0.9646799116997793,0.9955849889624724,0.1423841059602649,1.0,0.016556291390728478,0.0,1.0,0.0,0.0,0.009933774834437087,0.9271523178807947,0.11589403973509933,0.0,1.0,0.9988962472406181,0.304635761589404,0.0,0.018763796909492272,0.02869757174392936,0.0,0.0,0.9966887417218543,0.0,0.9944812362030905,1.0,0.0,0.9889624724061811,0.47130242825607066,1.0,0.3719646799116998,0.039735099337748346,1.0,0.0,0.03863134657836645,0.0,0.7019867549668874,0.0,0.0,0.3973509933774834,0.0,1.0,0.0,0.08830022075055188,0.0,0.029801324503311258,0.002207505518763797,1.0,0.0,0.0
Cell-9,1.0,0.1504424778761062,0.9911504424778761,0.0,0.20707964601769913,0.6070796460176991,0.0,0.0,0.9982300884955753,1.0,0.1929203539823009,0.03008849557522124,0.05663716814159292,0.023008849557522124,1.0,0.0,0.0,0.2336283185840708,0.9964601769911504,0.0831858407079646,0.04247787610619469,0.9929203539823008,1.0,0.1256637168141593,0.0,0.05132743362831858,0.012389380530973451,0.8831858407079646,0.005309734513274336,0.9964601769911504,0.0,0.9911504424778761,1.0,0.0,1.0,0.8407079646017699,0.9911504424778761,0.8017699115044248,0.03716814159292035,1.0,0.35398230088495575,0.11504424778761062,0.0,0.9823008849557522,0.0,0.0017699115044247787,0.9911504424778761,0.0,1.0,0.0,0.005309734513274336,0.8601769911504424,0.2336283185840708,0.01592920353982301,0.9876106194690265,0.0,0.0
Cell-10,0.9977744807121661,0.3004451038575668,0.9866468842729971,0.0,0.14020771513353117,0.15207715133531158,0.0,0.0,0.9829376854599406,0.9896142433234422,0.9065281899109793,0.9873887240356083,0.002967359050445104,0.0,1.0,0.0,0.0,0.3850148367952522,1.0,0.0,0.4198813056379822,1.0,0.9977744807121661,0.04970326409495549,0.002967359050445104,0.6869436201780416,0.1661721068249258,0.05192878338278932,0.0,0.9992581602373887,0.0,0.9658753709198813,0.994807121661721,0.0,0.994807121661721,0.07195845697329377,0.9940652818991098,0.9272997032640949,0.07863501483679525,1.0,0.25741839762611274,0.002225519287833828,0.0,0.7856083086053413,0.0,0.0,0.2247774480712166,0.0,1.0,0.0,0.0,0.0,0.11127596439169139,0.0,1.0,0.41097922848664686,0.0
